inventory_id,product_id,stock,warehouse_id,last_stock_date
1,1,55,1,8-Apr-24
2,2,39,1,2-Feb-24
3,3,92,1,10-May-24
4,4,57,1,18-Apr-24
5,5,87,1,9-Jan-24
6,6,31,1,7-Mar-24
7,7,87,1,2-Sep-22
8,8,89,1,8-Aug-22
9,9,30,1,4-Jul-22
10,10,53,1,3-Jun-23
11,11,60,1,3-Jan-22
12,12,59,1,8-Jun-23
13,13,39,1,9-Feb-22
14,14,89,1,22-Aug-23
15,15,40,1,30-Dec-22
16,16,48,1,4-Oct-23
17,17,57,1,18-Mar-22
18,18,41,1,23-Feb-23
19,19,95,1,21-Mar-22
20,20,93,1,28-Jun-22
21,21,56,1,11-Jan-22
22,22,60,1,12-Sep-23
23,23,70,1,21-Jun-22
24,24,54,1,19-May-23
25,25,24,1,28-Mar-23
26,26,23,1,20-Feb-23
27,27,60,1,20-Oct-23
28,28,71,1,4-Aug-22
29,29,42,1,18-Apr-22
30,30,74,1,9-Oct-22
31,31,65,1,3-Dec-23
32,32,28,1,29-Dec-22
33,33,69,1,8-Aug-23
34,34,55,1,12-Nov-23
35,35,67,1,2-Feb-23
36,36,36,1,23-Jan-22
37,37,35,1,12-Dec-23
38,38,91,1,19-Dec-22
39,39,85,1,7-Dec-22
40,40,67,1,23-Feb-23
41,41,25,1,20-Sep-23
42,42,89,1,13-Oct-23
43,43,70,1,25-Oct-23
44,44,50,1,30-Apr-23
45,45,76,1,16-Mar-23
46,46,47,1,29-Nov-23
47,47,25,1,2-Sep-22
48,48,83,1,27-Oct-22
49,49,41,1,24-Jun-23
50,50,76,1,30-May-23
51,51,66,1,9-Oct-23
52,52,49,1,30-Jan-23
53,53,88,1,5-May-22
54,54,48,1,1-Aug-22
55,55,84,1,22-Oct-23
56,56,51,1,6-Nov-22
57,57,24,1,24-Oct-22
58,58,75,1,26-Jan-23
59,59,22,1,15-Jan-23
60,60,79,1,29-Jul-22
61,61,28,1,6-Oct-22
62,62,94,1,9-Feb-22
63,63,89,1,1-Aug-23
64,64,94,1,29-Sep-22
65,65,68,1,27-Dec-22
66,66,26,1,6-Jun-22
67,67,34,1,1-Apr-23
68,68,94,1,25-Jul-22
69,69,39,1,28-Mar-22
70,70,57,1,28-Jan-23
71,71,92,1,27-Dec-22
72,72,86,1,6-Dec-22
73,73,63,1,20-Jul-22
74,74,66,1,11-Sep-22
75,75,99,1,9-Apr-22
76,76,59,1,11-May-22
77,77,61,1,26-Dec-22
78,78,94,1,25-May-23
79,79,61,1,26-Mar-23
80,80,84,1,27-Dec-22
81,81,42,1,1-Mar-22
82,82,81,1,19-Sep-23
83,83,39,1,24-Mar-23
84,84,63,1,7-Aug-22
85,85,41,1,4-Jun-23
86,86,98,1,25-Jan-22
87,87,63,1,1-Mar-22
88,88,86,1,9-May-23
89,89,68,1,22-Jun-22
90,90,40,1,25-Oct-23
91,91,86,1,19-Nov-22
92,92,23,1,2-Dec-22
93,93,89,1,2-Jul-22
94,94,65,1,19-Dec-23
95,95,93,1,21-Feb-23
96,96,85,1,3-Jul-23
97,97,77,1,7-Apr-23
98,98,81,1,3-Apr-22
99,99,28,1,14-Jan-23
100,100,36,1,10-Apr-22
101,101,54,1,23-Jul-22
102,102,94,1,30-May-23
103,103,28,1,1-Feb-22
104,104,93,1,28-Aug-22
105,105,72,1,9-Apr-23
106,106,59,1,22-Oct-23
107,107,58,1,9-Aug-22
108,108,29,1,20-Aug-22
109,109,29,1,3-May-23
110,110,88,1,2-Sep-22
111,111,34,1,26-Jul-22
112,112,99,1,19-Nov-23
113,113,76,1,22-Jun-22
114,114,88,1,11-Jun-22
115,115,39,1,27-May-23
116,116,41,1,1-May-22
117,117,39,1,12-Feb-23
118,118,20,1,25-Mar-22
119,119,92,1,21-Sep-23
120,120,88,1,29-Mar-23
121,121,74,1,17-Apr-22
122,122,89,1,14-May-23
123,123,38,1,29-Jan-22
124,124,62,1,24-Jan-23
125,125,97,1,11-Oct-23
126,126,52,1,24-Jan-22
127,127,60,1,30-Nov-22
128,128,95,1,25-Aug-23
129,129,98,1,28-May-23
130,130,93,1,24-Oct-23
131,131,78,1,27-May-23
132,132,65,1,11-Sep-23
133,133,23,1,15-May-23
134,134,52,1,3-Jan-23
135,135,69,1,11-Mar-22
136,136,79,1,6-Jan-23
137,137,98,1,10-Jan-23
138,138,72,1,15-Nov-22
139,139,61,1,5-Apr-22
140,140,42,1,17-Nov-22
141,141,27,1,12-Jan-23
142,142,81,1,8-May-23
143,143,24,1,23-Jan-23
144,144,96,1,20-Feb-23
145,145,48,1,14-Jan-22
146,146,69,1,7-Jun-22
147,147,49,1,10-Aug-23
148,148,97,1,20-Jul-22
149,149,45,1,21-Nov-22
150,150,21,1,23-Dec-23
151,151,51,1,13-Apr-23
152,152,63,1,28-Apr-23
153,153,48,1,9-Mar-23
154,154,59,1,10-Jun-22
155,155,84,1,4-Jan-22
156,156,65,1,20-Oct-23
157,157,97,1,6-Apr-22
158,158,42,1,10-May-23
159,159,93,1,25-Dec-22
160,160,94,1,13-Apr-23
161,161,92,1,30-Jan-23
162,162,84,1,28-Aug-22
163,163,70,1,16-Feb-23
164,164,73,1,28-Feb-23
165,165,42,1,30-May-23
166,166,27,1,26-Jul-22
167,167,71,1,11-Oct-23
168,168,47,1,3-Oct-22
169,169,52,1,22-Aug-23
170,170,44,1,24-Jun-23
171,171,35,1,23-Feb-22
172,172,96,1,14-Aug-22
173,173,85,1,2-Oct-23
174,174,63,1,9-Jun-23
175,175,81,1,20-Dec-22
176,176,95,1,20-Jun-22
177,177,51,1,24-May-23
178,178,64,1,12-Jan-22
179,179,37,1,19-Oct-22
180,180,73,1,4-Mar-22
181,181,50,1,21-Dec-22
182,182,92,1,19-Sep-23
183,183,99,1,18-Mar-22
184,184,25,1,26-Feb-23
185,185,83,1,7-May-23
186,186,21,1,26-Oct-22
187,187,29,1,8-Oct-22
188,188,85,1,26-Dec-22
189,189,46,1,3-May-23
190,190,78,1,14-Apr-22
191,191,73,1,22-Nov-23
192,192,99,1,1-Aug-22
193,193,99,1,11-Oct-22
194,194,20,1,18-Aug-22
195,195,38,1,1-Jun-23
196,196,62,1,11-Nov-23
197,197,75,1,29-Aug-23
198,198,76,1,18-Jul-23
199,199,28,1,18-Dec-23
200,200,71,1,16-Apr-22
201,201,81,1,7-Apr-23
202,202,73,1,10-Sep-22
203,203,34,1,2-Jan-23
204,204,96,1,7-Jul-23
205,205,25,1,25-Jun-23
206,206,41,1,5-Aug-22
207,207,91,1,10-Jul-22
208,208,74,1,24-Apr-22
209,209,76,1,11-Jan-23
210,210,42,1,17-Mar-22
211,211,66,1,27-Sep-23
212,212,65,1,27-Feb-22
213,213,92,1,22-Feb-22
214,214,93,1,17-Jul-23
215,215,56,1,3-Jun-22
216,216,87,1,8-Feb-22
217,217,80,1,30-Jan-22
218,218,79,1,1-Apr-22
219,219,81,1,4-Aug-23
220,220,50,1,12-Mar-22
221,221,25,1,8-Nov-23
222,222,23,1,19-Oct-22
223,223,50,1,17-Apr-23
224,224,29,1,22-Jan-22
225,225,83,1,28-May-22
226,226,45,1,8-Jan-22
227,227,20,1,28-Sep-22
228,228,82,1,20-Aug-23
229,229,29,1,14-Jun-23
230,230,20,1,27-Mar-23
231,231,23,1,13-Mar-23
232,232,48,1,15-Jun-23
233,233,47,1,5-Oct-23
234,234,58,1,5-Apr-23
235,235,61,1,27-Nov-23
236,236,25,1,6-Apr-22
237,237,72,1,21-Aug-22
238,238,35,1,12-Oct-23
239,239,86,1,29-Nov-22
240,240,94,1,24-Jul-23
241,241,76,1,5-Dec-22
242,242,49,1,4-Aug-23
243,243,61,1,5-Mar-23
244,244,79,1,5-Apr-22
245,245,28,1,9-Jan-22
246,246,22,1,1-Mar-22
247,247,88,1,17-Jun-22
248,248,45,1,9-Nov-22
249,249,49,1,9-Jun-23
